name,brand,barcode,category,image_url,ingredients
Baume main rose,Sephora,152068,,https://images.openbeautyfacts.org/images/products/000/000/015/2068/front_fr.3.400.jpg,
masque yeux concombre,sephora,2567220,,,
Colorful mono-24 shimmer 221 T,Sephora,411123588804,open beauty facts,https://images.openbeautyfacts.org/images/products/041/112/358/8804/front_en.3.400.jpg,
,Kiko,6413279,,https://images.openbeautyfacts.org/images/products/000/000/641/3279/front_fr.12.400.jpg,
Isana med akut Handcreme,"Dirk Rossmann GmbH, Isana",723934376460,"Kosmetik,Handcremes",https://images.openbeautyfacts.org/images/products/072/393/437/6460/front_de.12.400.jpg,"fühle und trockenheitsbedingter Juckreiz können somit reduziert werden. WIRKUNG & PFLEGE Die ISANA MED AKUT HANDCREME ist auf die Be - dürfnisse der besonders trockenen und rissigen Haut abge - stimmt. Die Rezeptur mit der Wirkstoffkombination aus Urea und Cica-Extrakt erhöht den Feuchtigkeitsgehalt der Haut. **Extrakt der Centella Asiatica (Tigergras) Schützt die Hände langanhaltend vor dem Austrocknen. Sofortpflegekomplex mit Urea & Cica-Extrakt. . Zieht schnell ein und hinterlässt keinen Fettfilm. HAUTVERTRÄGLICHKEIT *Hautverträglichkeit dermatologisch-klinisch bestätigt (02/2020), Testung gemäß Dermatest 5-Sterne-Siegel www.5-sterne-garantie.de) INGREDIENTS: Aqua, Urea, Glycerin, Ethylhexyl Stearate, Cetearyl Acohol, Butyrospermum Parkii Butter, Isopropyl Palmitate, Glyceryl Searate, Helianthus Annuus Hybrid Oil, Panthenol, Centella Asiatica Extract, Levulinic Acid, Sodium Levulinate, Triacetin, Xanthan Gum, Sodium Stearoyl Glutamate, Caprylyl Glycol, p-Anisic Acid, Sodium Lactate, Lactic Acid, Sodium Hydroxide, Butylene Glycol, Citric Acid. Verwendete Druckfarbe ist mineralölfrei estellt für Dirk Rossmann GmbH gener Str. 16, DE-30938 Burgwedel ossmann.de 25 mle elt in Deutschland Moses Info-Telefon: - 7677 62 66 VEGAN 12M 09792"
Beauty insider,Sephora,850155008532,"Non food products,Open Beauty Facts",https://images.openbeautyfacts.org/images/products/085/015/500/8532/front_en.4.400.jpg,"Ingredients / Ingrédients : ProtiniTM Water/Aqua/Eau, Dicaprylyl Carbonate, Glycerin, Cetearyl Alcohol, Cetearyl Olivate, Sorbitan Olivate, Sclerocarya Birrea Seed Oil, Bacillus/Soybean/ Folic Acid Ferment Extract, Nymphaea Alba Root Extract, sh-Oligopeptide-1, sh-Oligopeptide-2, sh-Polypeptide-1, sh-Polypeptide-9, sh-Polypeptide-11, Copper Palmitoyl Heptapeptide-14, Heptapeptide-15 Palmitate, Palmitoyl Tetrapeptide-7, Palmitoyl Tripeptide-1, Alanine, Arginine, Glycerine, Histidine, Isoleucine, Phenylalanine, Proline, Serine, Threonine, Valine, Acetyl Glutamine, Coconut Alkanes, Coco-Caprylate/Caprate, Sodium Hyalurate, Aspartic Acid, Linoeic Acid, Linolenic Acid, Lecithin, Butylene Glycol, Polyvinyl Alcohol, Sodium Lactate, Sodium PCA, PCA, Sorbitan Isostearate, Carbomer, Polysorbate 20, Polysorbate 60, Lactic Acid/Glycolic Acid Copolymer, Hydroxyethyl Acrylate/ Sodium Acryloyldimethyl Taurate Copolymer, Xantham Gum, Isomalt, 1,2-Hexanediol, Caprylyl Glycol, Chlorphenesin, Phenoxyethanol, Tocopherol, Sodium Benzoate, Phenylpropanol, Glyceryl Gaprylate, Symphytum Officinale Callus Culture Extract BesteTM Water/Aqua/Eau, Glycerin, Cocamidopropyl Betaine, Coco-Glucoside, Sodium Lauroyl Methyl Isethionate, Cocamidopropyl Hydroxysultaine, Sodium Methyl Oleoyl Taurate, Propanediol, Aloe Barbadensis Leaf Extract, Glycolipids, Linoleic Acid, Linolenic Acid, Lauryl Glucoside, Cucumis Melo Cantalupensis Fruit Extract, Sclerocarya Birrea Seed Oil, Dipotassium Glycyrhizate, Tocopherol, Citric Acid, Phenoxyethanol, Sodium Hydroxide, Sodium Benzoate, Sodium Chloride"
longeyes+ Active Mascara,kiko,9597761,,https://images.openbeautyfacts.org/images/products/000/000/959/7761/front_fr.3.400.jpg,"INGREDIENTS: AQUA (WATERVEAU), SYNTHETIC BEESWAX, STEARIC DE CARNAUBA), VP/ECOSENE COPOLYMER, PVP, PEG-8 BEESWAX, BUTYLENE GLYCOL, AMINOMETHYL PROPANEDIOL, GLYCERIN, PHENOXYETHANOL PANTHENOL, HYDROXYETHYLCELLULOSE, SIMETHICONE, POTASSIUM SORBATE, TOCOPHERYL ACETATE, HYDROLYZED KERATIN, DISODIUM EDTA ACID, COPERNIC IA CERIFERA CERA (COPERNICIA CERIFERA CARNAUBA) WAXICIRE PPG-26 BUTETH 26, PEG-40 HYDROGENATED CASTOR OIL, APIGENIN, OLEANOLIC ACID"
Tuscan sunshine eyeliner duo 03,Kiko,10316658,"Eyeliner, Occhi",https://images.openbeautyfacts.org/images/products/000/001/031/6658/front_it.4.400.jpg,"MATITA: dimeticone, TRIMETHYLSILOXYSILICATE, cera sintetica, idrogenofosfato di calcio, mica, PHENYLPROPYLDIMETHYLSILOXYSILICATE, polietilene, acido polidrossistearico, DISILOXANE, CAPRYLYL TRIMETHICONE, DISTEARDIMONIUM HECTORITE, propilene carbonato, lecitina, tocoferolo, ASCORBYL PALMITATE, acido citrico, fluoroflogopite sintetica, CALCIUM ALUMINUM BOROSILICATE, CALCIUM SODIUM BOROSILICATE, silice, ossido di indio-stagno, CI77891, CI77491, CI77492, CI77163, CI77510, CI75470 EYELINER isododecane, TRIMETHYLSILOXYSILICATE, dimeticone, mica, DISTEARDIMONIUM HECTORITE, SORBITAN TRISTEARATE, propilene carbonato, CALCIUM ALUMINUM BOROSILICATE, HYDROGENATED PALM KERNEL GLYCERIDES, PHYTOSTERYL ISOSTEARATE, silice, CAPRYLYL GLYCOL, fenossietanolo, ASCORBYL PALMITATE, HYDROGENATED PALM GLYCERIDES, HEXYLENE GLYCOL, butilidrossitoluene, ossido di indio-stagno, CALCIUM TITANIUM BOROSILICATE, fluoroflogopite sintetica, CI77891, CI77491, CI77499"
NACHTCREME VITAL,ISANA,11162643,,https://images.openbeautyfacts.org/images/products/000/001/116/2643/front_de.4.400.jpg,
Ourwhy pat skin barrier,Gratis,20270425,,https://images.openbeautyfacts.org/images/products/000/002/027/0425/front_tr.3.400.jpg,Pat caramide squalane
